n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,Accuracy,Precision,Recall,F1 Score,AUC
50,6,0.01,0.8,1.0,5,0.9473429951690822,0.9308083935328518,0.9400584795321638,0.934327033800718,0.9691918840310653
100,6,0.01,0.8,0.8,1,0.9473429951690822,0.934201189247629,0.9397660818713451,0.9340755865755866,0.9788290169869118
100,6,0.01,1.0,1.0,1,0.9451690821256038,0.9229481792717087,0.9502923976608187,0.9336985312908708,0.9773384077477646
100,6,0.01,0.8,0.8,5,0.9451207729468599,0.9324635117204778,0.9345029239766083,0.9322103769472191,0.9742272347535504
50,6,0.01,0.8,0.8,5,0.9451690821256038,0.9318787163988403,0.9345029239766083,0.9319100766469187,0.9717987097373062
50,6,0.01,0.8,1.0,1,0.9429951690821257,0.910015939251368,0.956140350877193,0.9306049079733292,0.9763397691760265
100,6,0.01,1.0,0.8,5,0.9430434782608696,0.9289087915868102,0.9345029239766083,0.9287972312972312,0.9759878090287447
50,6,0.01,1.0,1.0,1,0.9407729468599035,0.9066323897980245,0.9558479532163743,0.9284965205161045,0.9736292892725642
50,6,0.01,1.0,0.8,5,0.9407729468599035,0.9130849181777976,0.9456140350877194,0.9274748374748375,0.9737681394845137
50,6,0.01,1.0,1.0,5,0.9363768115942029,0.9072485134404639,0.9400584795321638,0.9219094513831356,0.9666933537547573
